Date,Barcode,Product,Purchase Qty,Purchase Price,Sales Qty,Sales Price
2026-05-24,012005000596,,,,1.00,4.99
2026-05-17,611851678340,General Goods:Arya Mung Bean Batter With Moringa leaves 26Oz,2.0,27.5,1.00,6.49
2026-05-22,763946225028,General Goods:Artesano Bread 567gm,60.0,3.41,1.00,4.79
2026-05-24,793573019295,General Goods:Arya Dosa Batter 32 Oz,3.0,22.5,3.00,17.97
2026-05-24,656793663443,General Goods:Arya Idly Batter 32 Oz,2.0,22.5,3.00,17.97
2026-05-24,656793663542,General Goods:Arya Millet Batter 30 Oz,2.0,27.5,4.00,25.96
2026-05-24,656793663566,General Goods:Arya Multi Lentil Batter 30 Oz,2.0,27.5,6.00,38.94
2026-05-24,656793663580,General Goods:Arya Multigrains Roti 15Pcs 24Oz,1.0,70.5,2.00,19.98
2026-05-24,611851678333,General Goods:Arya Ragi Batter With Horse Gram Lentils 26Oz,2.0,27.5,2.00,12.98
2026-05-24,8901552007689,,,,13.00,42.77
2026-05-24,656793663603,General Goods:Arya Methi Roti 15pc,1.0,80.5,1.00,11.29
2026-05-22,8901552024495,,,,1.00,4.79
2026-05-24,8901552007825,General Goods:Ashoka Amla Whole 310 Gms,1.0,34.5,1.00,2.30
2026-05-19,8901552023573,General Goods:Ashoka Asli Paratha Family Pack 1200 Gms,1.0,48.0,1.00,9.99
2026-05-24,8901552007641,General Goods:Ashoka Okra Cut 310 Gms,5,38.0,7.00,17.43
2026-02-07,8901152011987,,,,5.00,11.45
2026-05-17,033200011309,,,,2.00,2.98
2026-05-24,033200011101,,,,2.00,4.98
2026-01-27,761720071328,,,,3.00,8.97
2026-05-24,761720071045,,,,5.00,19.45
2026-01-31,761720988183,,,,1.00,3.49
2026-05-24,100000053478,,,,114.00,319.59
2026-05-24,860008572400,,,,2.00,9.98
2026-05-24,0100741839040163,,,,30.00,91.43
2026-04-29,0100891658001330,,,,38.00,114.47
2026-05-24,0100741839041351,,,,21.00,75.89
2026-05-19,100000328972,,,,1.00,2.15
2026-04-29,0100812333010065,,,,21.00,89.10
2026-05-24,627374100527,General Goods:Apni mandi Walnut 200g,1.0,55.0,2.00,8.58
2026-05-24,627374102354,General Goods:Apni Mandi Sunflower Seeds 400 Gms,1.0,50.0,2.00,7.58
2026-05-23,627374103528,General Goods:Apni mandi sunflower seeds 200g,1.0,30.0,1.00,2.49
2026-05-24,627374102736,General Goods:Apni Mandi Sunderkhani Raisin 14 Oz/400 Gm,1.0,110.0,1.00,7.99
2026-05-24,627374101142,General Goods:Apni Mandi Red Raisins 400 Gms,1,75.0,3.00,17.37
2026-05-10,8901552029612,,,,1.00,1.49
2026-05-24,8901552007665,General Goods:Ashoka Drumstick Cut 310 Gms,1.0,32.0,3.00,7.47
2026-05-23,8901414001145,,,,2.00,6.98
2026-05-14,850053642463,,,,1.00,1.99
2026-05-17,8906075000155,,,,1.00,3.49
2026-05-24,01075--98930,,,,317.00,313.83
2026-05-24,0100643126042341,,,,12.00,41.60
2026-05-24,033383666020,,,,6.00,8.94
2026-05-24,0100749289042331,,,,1.00,14.94
2026-05-10,033844004484,,,,1.00,2.99
2026-04-19,8901774002134,General Goods:Badshah Chat Masala 100 Gms,1.0,16.8,1.00,2.49
2026-05-24,8901552023481,General Goods:Ashoka Frozen Garlic Naan 1.02 Kgs,50.0,42.0,1.00,9.99
2026-03-15,8901774002127,General Goods:Badshah Chana Masala 100 Gms,1.0,16.8,1.00,2.19
2026-02-07,8901774002509,General Goods:Badshah Chicken Biryani Masala 100 Gms,1.0,16.8,1.00,2.19
2026-04-16,8901774002202,General Goods:Badshah Dhanshak Masala 100 Gms,1.0,16.8,1.00,2.19
2026-02-28,8901774002059,General Goods:Badshah Rajvadi Garam Masala Powder 100 Gms,1.0,16.8,1.00,2.19
2026-05-17,8901774002387,General Goods:Badshah Premium Garam Masala Powder 100 Gms,1.0,13.5,1.00,1.79
2026-05-09,8901774002240,General Goods:Badshah Jiralu/Butter Milk Masala 100 Gms,1.0,11.5,1.00,1.49
2026-05-16,8906075000117,,,,1.00,3.99
2026-05-22,8906103470424,,,,1.00,2.79
2026-05-24,8906103470325,General Goods:Ashwin Pharma Castor Oil 100 Ml,24.0,1.5,2.00,6.98
2026-05-22,8901552007795,General Goods:Ashoka Vegetables Tindora Cut 310 Gm/11 Oz,5.0,31.2,3.00,7.47
2026-05-24,8901552023184,General Goods:Ashoka Plain Naan 1275 Gms,108.0,50.0,3.00,23.97
2026-05-20,8901552026642,General Goods:Ashoka Soya Chaap In Brine  850g,2.0,13.5,1.00,5.49
2026-05-23,8901552017886,,,,3.00,11.40
2026-05-23,8901552029599,,,,2.00,2.98
2026-02-07,8901552007740,General Goods:Ashoka Tinda Cut 310 Gms,1.0,34.5,2.00,4.58
2026-04-09,8901552016124,General Goods:Ashoka Punjabi Samosa 600 Gm,25.0,48.0,1.00,4.99
2026-05-24,8901552020176,General Goods:Ashoka Jamun 310 Gms,1.0,44.0,2.00,5.98
2026-05-22,8901552030007,General Goods:Ashoka Veg Hakka Noodles 560 Gms,2.0,26.99,2.00,6.58
2026-04-27,8901152011932,General Goods:Ashoka Green Pea 310 Gms,5.0,0.1,2.00,4.58
2026-05-19,8901552029582,,,,1.00,1.49
2026-05-24,8901552029971,,,,25.00,87.25
2026-02-01,8901552011624,,,,2.00,8.58
2026-05-09,8901552021272,,,,1.00,6.99
2026-05-23,627374102606,General Goods:Apni Mandi Red Raisin (Afgan) 28Oz,1.0,145.0,1.00,10.99
2026-05-24,627374102798,General Goods:Apni Mandi Raw Peanut (Spanish) 4 Lbs,4.0,48.0,14.00,90.86
2026-05-24,627374100084,General Goods:Apni Mandi Almonds 400 Gms,2.0,80.0,8.00,47.92
2026-04-19,8904040303003,General Goods:Annapoorna Madurai Mutton Chukka Masala 200 Gms,1.0,23.88,1.00,3.49
2026-05-17,8906042150173,General Goods:Anil Varagu Vermicelli Kodo Millet 180 Gms,1.0,23.0,1.00,1.79
2026-05-17,8904040302839,General Goods:Annapoorna Biryani Masala 200 Gms,1.0,23.88,1.00,4.49
2026-05-18,8904040303126,General Goods:Annapoorna Chicken Tikka Masala 200 Gms,1.0,23.88,1.00,3.99
2026-02-12,8904040302877,General Goods:Annapoorna Curry Powder 200 Gms,1.0,23.88,1.00,1.99
2026-05-11,8904040302891,General Goods:Annapoorna Fish Curry Masala 200 Gms,1.0,23.88,1.00,2.99
2026-05-23,8904040303089,General Goods:Annapoorna Hyderabadi Biryani Masala 200 Gms,1.0,29.88,1.00,3.49
2026-04-06,8906170470136,,,,1.00,8.99
2026-05-24,627374101098,,,,3.00,40.47
2026-05-09,8906170470143,,,,1.00,17.99
2026-05-24,627374100947,,,,1.00,4.49
2026-05-23,627374100862,,,,1.00,7.49
2026-05-24,627374102781,,,,22.00,87.78
2026-05-24,627374100787,General Goods:Apni Mandi Shredded Coconut 400 Gms,1.0,60.0,3.00,17.97
2026-05-24,627374100015,General Goods:Apni mandi Cashew Large Pieces 200g,1.0,40.0,1.00,3.29
2026-05-23,8906042150067,General Goods:Anil Roasted Short Vermicelli 450 Gms,1.0,19.4,4.00,15.16
2026-05-24,8906042150050,General Goods:Anil Roasted Short Vermicelli 180 Gms,1.0,21.0,4.00,7.96
2026-05-12,8906042151095,General Goods:Anil Rice Vermicelli 200 Gms,1.0,24.75,1.00,1.79
2026-05-24,8906042150074,General Goods:Anil Ragi Vermicelli Millet 180 Gms,1.0,21.0,1.00,1.49
2026-05-13,8906042150197,General Goods:Anil Foxtail Millet Vermicelli 180 Gms,1.0,23.0,1.00,1.79
2026-05-23,8906042150081,General Goods:Anil Finger Millet/Ragi Vermicelli 450 Gms,1.0,23.0,2.00,8.98
2026-05-24,6287013346293,,,,1.00,16.49
2026-05-24,878776008144,General Goods:Anand Whole Kashmiri Mirch 200 Gms,1.0,63.0,6.00,29.94
2026-05-24,878776003552,General Goods:Anand Whole Chilli - Teja 400 Gms,1.0,52.8,1.00,8.29
2026-05-24,878776000209,General Goods:Anand Trissur Spicy Mixture 400 Gms,1.0,46.0,8.00,30.32
2026-04-17,878776009097,General Goods:Anand Tapioca Chips Salted 200Gm,1.0,39.78,1.00,2.99
2026-05-24,878776005341,General Goods:Anand Tanjavoor Mixture 400 Gms,1.0,45.0,2.00,7.58
2026-05-24,878776005136,General Goods:Anand Tamil Nadu Mixture 400 Gms,1.0,45.0,1.00,3.79
2026-04-10,878776000582,,,,3.00,17.37
2026-05-24,878776002081,General Goods:Anand Spicy Muruku 170 Gms,1.0,39.98,3.00,8.97
2026-05-24,878776004467,General Goods:Anand Spicy Mullu Murukku 200 Gms,1.0,39.8,2.00,5.98
2026-05-23,878776000032,General Goods:Anand Spicy Mixture Hot 400 Gms,1.0,46.0,4.00,15.16
2026-05-24,627374100077,General Goods:Apni mandi Raw Almond 200g,1.0,45.0,2.00,6.58
2026-05-24,627374101135,General Goods:Apni Mandi Red Raisin 200 Gms,1,42.0,3.00,8.97
