endpoint,status,rows,fields,response_ms
merchant,401,0,0,926.43
orders,200,20,26,1015.51
orders_expanded,200,20,26,928.5
payments,401,0,0,894.63
payments_expanded,401,0,0,920.22
refunds,401,0,0,895.29
customers,401,0,0,939.32
customers_expanded,401,0,0,917.57
items,401,0,0,972.79
items_expanded,401,0,0,908.05
categories,401,0,0,931.27
modifier_groups,401,0,0,944.95
modifiers,401,0,0,935.58
tags,401,0,0,922.92
tax_rates,401,0,0,905.9
cash_events,401,0,0,888.92
employees,401,0,0,909.8
tenders,401,0,0,913.83
order_types,401,0,0,934.05
service_charges,405,0,0,907.26
order_detail,200,1,22,944.96
order_line_items,200,1,16,957.27
