order_id,total,amount,tipAmount,taxAmount,cashbackAmount,createdTime,product,product_price,order_total
TXHGE1PP96844,28.0,28,0.0,3,0,1784876618000,,,
HQVZY8AYNR2EW,500.0,500,0.0,0,0,1784874700000,,,
R4B0HCBHN6XM2,98.0,98,0.0,9,0,1784874550000,,,
ZTYV39NKQQ9XT,1484.0,1484,0.0,138,0,1784873371000,,,
M9EQ6AF52QMXA,881.0,881,0.0,82,0,1784873325000,,,
8PB5AZXHATSWA,219.0,219,0.0,20,0,1784873198000,,,
7SXFGMQJG1Y04,1865.0,1865,254.0,173,0,1784873227000,,,
PZJ51DVBQDTWJ,1322.0,1322,0.0,123,0,1784872993000,,,
M0SVSCRVN1BFM,1936.0,1936,0.0,180,0,1784872886000,,,
RD37Y237WXJAR,2863.0,2863,,266,0,1784872452000,,,
5BJ613C28025A,1529.0,1529,69.0,142,0,1784872260000,,,
5349G29G3ZQ1E,1154.0,1154,0.0,107,0,1784872053000,,,
CCWN62C2AV7QP,1653.0,1653,0.0,154,0,1784872020000,,,
72XQ32EMTMWZ8,2644.0,2644,0.0,246,0,1784872017000,,,
SPR5XF43CXY94,2542.0,2542,0.0,225,0,1784871814000,,,
QP86A4VH45BM8,1212.0,1212,0.0,113,0,1784871717000,,,
4EFS141B2X8MA,98.0,98,0.0,9,0,1784871694000,,,
MKNFS695CWKNJ,1055.0,1055,0.0,98,0,1784871652000,,,
XHST274ZF1W4A,3525.0,3525,480.0,328,0,1784871508000,,,
1QRGG1JW79BXP,196.0,196,0.0,18,0,1784871276000,,,
MBQRGD7XPN3R2,2202.0,2202,0.0,205,0,1784871226000,,,
0F6GP7HH9M3RP,881.0,881,,82,0,1784871074000,,,
9SXDWXMBZBK7Y,1211.0,1211,0.0,113,0,1784870899000,,,
5FRXH04WGF7FG,98.0,98,0.0,9,0,1784870869000,,,
NS4JWRSNTGBH2,2697.0,2697,,251,0,1784870783000,,,
T29HQVDT3MA5M,881.0,881,0.0,82,0,1784870580000,,,
MF60WZBETDVJP,275.0,275,0.0,26,0,1784870420000,,,
PMW30Y4XCZB2R,881.0,881,0.0,82,0,1784870357000,,,
F92M2BWC527A2,1101.0,1101,0.0,102,0,1784870307000,,,
C04FKZEYH749E,98.0,98,0.0,9,0,1784870239000,,,
36BVBB1GP8KR0,219.0,219,10.0,20,0,1784870217000,,,
V5JBTQ4WVX7ET,1211.0,1211,55.0,113,0,1784870177000,,,
SF6QF9DDW70YR,881.0,881,0.0,82,0,1784870041000,,,
