vendor_name,vendor_type,matched_vendor_name,match_score,updated_name
Annamma's Kitchen,Grocery Vendor,Annamma's Kitchen,100.0,Annamma's Kitchen
Bimbo,Grocery Vendor,BIMBO,100.0,BIMBO
Deccan foods ,Grocery Vendor,Deccan Foods,100.0,Deccan Foods
Deepika Chawla,Grocery Vendor,Deepika Chawla,100.0,Deepika Chawla
Darbar Foods,Grocery Vendor,Darbar Foods,100.0,Darbar Foods
Diamond bakery,Grocery Vendor,Diamond Bakery,100.0,Diamond Bakery
Dass Sweets,Grocery Vendor,Dass Sweets,100.0,Dass Sweets
House of spices,Grocery Vendor,House Of Spices,100.0,House Of Spices
Hocean,Grocery Vendor,Hocean,100.0,Hocean
Gold Rush distribution,Grocery Vendor,Gold Rush Distribution,100.0,Gold Rush Distribution
Guruji Blessings,Grocery Vendor,Guruji Blessings,100.0,Guruji Blessings
JK Product LLC,Grocery Vendor,JK Product LLC,100.0,JK Product LLC
Manisha Patel,Grocery Vendor,Manisha Patel,100.0,Manisha Patel
La Rosa Tortilla,Grocery Vendor,La Rosa Tortilla,100.0,La Rosa Tortilla
Royalty foods inc,Grocery Vendor,Royalty Foods Inc,100.0,Royalty Foods Inc
Satya sweets,Grocery Vendor,Satya Sweets,100.0,Satya Sweets
Sm Beverages,Grocery Vendor,SM Beverages,100.0,SM Beverages
Pepsi,Grocery Vendor,Pepsi,100.0,Pepsi
Palo Alto Foods,Grocery Vendor,Palo Alto Foods,100.0,Palo Alto Foods
Ronak Imports,Grocery Vendor,Ronak Imports,100.0,Ronak Imports
Olive land & more,Grocery Vendor,Olive Land & More,100.0,Olive Land & More
Pitco Foods,Grocery Vendor,Pitco Foods,100.0,Pitco Foods
Passage to India,Grocery Vendor,Passage to India,100.0,Passage to India
Nature's Guru  ,Grocery Vendor,Nature's Guru,100.0,Nature's Guru
T & s produce,Produce Vendor,T & S Produce,100.0,T & S Produce
Tangs Farm ,Produce Vendor,Tangs Farm,100.0,Tangs Farm
Desi milk,Dairy Vendor,Desi Milk,100.0,Desi Milk
Sunrise Food Dist ,Dairy Vendor,Sunrise Food Dist ,100.0,Sunrise Food Dist 
Califarm Produce,Produce Vendor,Califarm Produce,100.0,Califarm Produce
Banner Fruit,Produce Vendor,Banner Fruit,100.0,Banner Fruit
Coast tropical,Produce Vendor,Coast Tropical,100.0,Coast Tropical
Jose Manual Puchco,Produce Vendor,Jose Manual puchco,100.0,Jose Manual puchco
Victor,Produce Vendor,Victor,100.0,Victor
Premium Produce,Produce Vendor,Premium Produce,100.0,Premium Produce
Wonder Ice Cream,Grocery Vendor,Wonder Ice Cream,100.0,Wonder Ice Cream
Zee foods,Grocery Vendor,Zee Foods,100.0,Zee Foods
Wisoman foods,Grocery Vendor,Wisoman Foods,100.0,Wisoman Foods
Sunny Co,Grocery Vendor,Sunny Co,100.0,Sunny Co
The Breaven LLC,Grocery Vendor,The Breaven LLC,100.0,The Breaven LLC
Verka USA,Grocery Vendor,Verka Usa,100.0,Verka Usa
United International,Grocery Vendor,United international,100.0,United international
The Everest Bakery,Grocery Vendor,The Everest Bakery,100.0,The Everest Bakery
Sensational Foods,Grocery Vendor,Sensational Foods,100.0,Sensational Foods
Shahi kulfi,Grocery Vendor,Shahi Kulfi,100.0,Shahi Kulfi
Slt foods,Grocery Vendor,SLT FOODS,100.0,SLT FOODS
Real Ice cream,Grocery Vendor,Real Ice Cream,100.0,Real Ice Cream
Nanki,Grocery Vendor,Nanki,100.0,Nanki
Master Butcher,Grocery Vendor,Master Butcher,100.0,Master Butcher
Gurudev imports Inc,Grocery Vendor,Gurudev Imports Inc,100.0,Gurudev Imports Inc
Daaks international,Produce Vendor,Daaks International,100.0,Daaks International
Shivron Enterpriese,Grocery Vendor,Shivron Enterpriese,100.0,Shivron Enterpriese
India's fine foods,Grocery Vendor,India's Fine Foods,100.0,India's Fine Foods
Thal golden spices,Grocery Vendor,Thal Golden Spices,100.0,Thal Golden Spices
GreenGrocer LLC,Produce Vendor,Greengrocer LLC,100.0,Greengrocer LLC
Restaurant Depot,Grocery Vendor,Restaurant Depot,100.0,Restaurant Depot
Portall pacific,Dairy Vendor,Portall Pacific,100.0,Portall Pacific
New Desi Bazaar  ,Grocery Vendor,New Desi Bazaar,100.0,New Desi Bazaar
Shasta produce,Produce Vendor,Shasta Produce,100.0,Shasta Produce
Mt. tam fresh,Produce Vendor,MT. Tam Fresh,100.0,MT. Tam Fresh
Mangalm llc,Grocery Vendor,Mangalm LLC,100.0,Mangalm LLC
United food delicacies,Grocery Vendor,United Food Delicacies,100.0,United Food Delicacies
Nature's sweets inc,Grocery Vendor,Nature's Sweets Inc,100.0,Nature's Sweets Inc
Golden choice Distributors,Grocery Vendor,Golden Choice Distributors,100.0,Golden Choice Distributors
Alondra produce,Produce Vendor,Alondra Produce,100.0,Alondra Produce
Prime Wholesalers,Produce Vendor,Prime Wholesalers,100.0,Prime Wholesalers
Jay prabhu enterprise llc,Grocery Vendor,Jay Prabhu Enterprise LLC,100.0,Jay Prabhu Enterprise LLC
Central valley impex inc,Grocery Vendor,Central Valley Impex Inc,100.0,Central Valley Impex Inc
X'pressions,Grocery Vendor,X'Pressions,100.0,X'Pressions
IA distribution,Produce Vendor,IA Distribution,100.0,IA Distribution
Frito lay,Grocery Vendor,Frito Lay,100.0,Frito Lay
Redwood produce inc,Produce Vendor,Redwood Produce Inc,100.0,Redwood Produce Inc
Chong's produce inc,Produce Vendor,Chong's Produce Inc,100.0,Chong's Produce Inc
Nutrica Trading,Grocery Vendor,Nutrica Trading,100.0,Nutrica Trading
Dhanraj,Grocery Vendor,Dhanraj,100.0,Dhanraj
Los Mejores Adobos,Grocery Vendor,Los Mejores Adobos,100.0,Los Mejores Adobos
Salwan Trading.inc,Grocery Vendor,Salwan Trading.Inc,100.0,Salwan Trading.Inc
Liberate Foods inc,Grocery Vendor,Liberate Foods Inc,100.0,Liberate Foods Inc
Sunset produce co.,Produce Vendor,Sunset Produce Co.,100.0,Sunset Produce Co.
The JPZZ Group inc,Produce Vendor,The JPZZ Group Inc,100.0,The JPZZ Group Inc
The best foods commodities,Grocery Vendor,The Best Foods Commodities,100.0,The Best Foods Commodities
Delight Foods,Grocery Vendor,Delight Foods,100.0,Delight Foods
Fyve elements,Grocery Vendor,Fyve Elements,100.0,Fyve Elements
Shrinath trading,Grocery Vendor,Shrinath Trading,100.0,Shrinath Trading
