endpoint,status,rows,fields,response_ms
merchant,401,0,0,2221.61
orders,200,20,26,2238.94
orders_expanded,200,20,26,1867.08
payments,401,0,0,1785.22
payments_expanded,401,0,0,1776.54
refunds,401,0,0,1645.85
customers,401,0,0,1636.95
customers_expanded,401,0,0,1688.4
items,401,0,0,1798.32
items_expanded,401,0,0,1801.56
categories,401,0,0,1887.84
modifier_groups,401,0,0,1638.96
modifiers,401,0,0,1661.69
tags,401,0,0,1658.29
tax_rates,401,0,0,1984.14
cash_events,401,0,0,1983.64
employees,401,0,0,1770.35
tenders,401,0,0,1647.95
order_types,401,0,0,1993.5
service_charges,405,0,0,1620.14
order_detail,200,1,22,1669.9
order_line_items,200,1,18,1700.65
