endpoint,field,populated_pct
orders,href,100.0
orders,id,100.0
orders,currency,100.0
orders,employee.id,100.0
orders,total,100.0
orders,paymentState,100.0
orders,title,100.0
orders,orderType.id,100.0
orders,taxRemoved,100.0
orders,isVat,100.0
orders,state,100.0
orders,manualTransaction,100.0
orders,groupLineItems,100.0
orders,testMode,100.0
orders,payType,100.0
orders,createdTime,100.0
orders,clientCreatedTime,100.0
orders,modifiedTime,100.0
orders,device.id,100.0
orders,customers.elements.href,15.0
orders,customers.elements.id,15.0
orders_expanded,href,100.0
orders_expanded,id,100.0
orders_expanded,currency,100.0
orders_expanded,employee.id,100.0
orders_expanded,total,100.0
orders_expanded,paymentState,100.0
orders_expanded,title,100.0
orders_expanded,orderType.id,100.0
orders_expanded,taxRemoved,100.0
orders_expanded,isVat,100.0
orders_expanded,state,100.0
orders_expanded,manualTransaction,100.0
orders_expanded,groupLineItems,100.0
orders_expanded,testMode,100.0
orders_expanded,payType,100.0
orders_expanded,createdTime,100.0
orders_expanded,clientCreatedTime,100.0
orders_expanded,modifiedTime,100.0
orders_expanded,device.id,100.0
orders_expanded,customers.elements.href,15.0
orders_expanded,customers.elements.id,15.0
order_detail,href,100.0
order_detail,id,100.0
order_detail,currency,100.0
order_detail,employee.id,100.0
order_detail,total,100.0
order_detail,paymentState,100.0
order_detail,title,100.0
order_detail,orderType.id,100.0
order_detail,taxRemoved,100.0
order_detail,isVat,100.0
order_detail,state,100.0
order_detail,manualTransaction,100.0
order_detail,groupLineItems,100.0
order_detail,testMode,100.0
order_detail,payType,100.0
order_detail,createdTime,100.0
order_detail,clientCreatedTime,100.0
order_detail,modifiedTime,100.0
order_detail,device.id,100.0
order_line_items,id,100.0
order_line_items,orderRef.id,100.0
order_line_items,item.id,100.0
order_line_items,name,100.0
order_line_items,alternateName,100.0
order_line_items,price,100.0
order_line_items,itemCode,100.0
order_line_items,printed,100.0
order_line_items,createdTime,100.0
order_line_items,orderClientCreatedTime,100.0
order_line_items,exchanged,100.0
order_line_items,refunded,100.0
order_line_items,isRevenue,100.0
order_line_items,isOrderFee,100.0
order_line_items,isAgeRestricted,100.0
order_line_items,excludeCashDiscount,100.0
