endpoint,field
orders,testMode
orders,customers.elements.href
orders,modifiedTime
orders,customers
orders,payType
orders,groupLineItems
orders,taxRemoved
orders,isVat
orders,paymentState
orders,id
orders,device.id
orders,customers.elements
orders,orderType.id
orders,orderType
orders,customers.elements.id
orders,createdTime
orders,title
orders,total
orders,employee
orders,employee.id
orders,state
orders,device
orders,clientCreatedTime
orders,currency
orders,manualTransaction
orders,href
orders_expanded,testMode
orders_expanded,customers.elements.href
orders_expanded,modifiedTime
orders_expanded,customers
orders_expanded,payType
orders_expanded,groupLineItems
orders_expanded,taxRemoved
orders_expanded,isVat
orders_expanded,paymentState
orders_expanded,id
orders_expanded,device.id
orders_expanded,customers.elements
orders_expanded,orderType.id
orders_expanded,orderType
orders_expanded,customers.elements.id
orders_expanded,createdTime
orders_expanded,title
orders_expanded,total
orders_expanded,employee
orders_expanded,employee.id
orders_expanded,state
orders_expanded,device
orders_expanded,clientCreatedTime
orders_expanded,currency
orders_expanded,manualTransaction
orders_expanded,href
order_detail,testMode
order_detail,createdTime
order_detail,modifiedTime
order_detail,payType
order_detail,title
order_detail,total
order_detail,groupLineItems
order_detail,taxRemoved
order_detail,isVat
order_detail,paymentState
order_detail,id
order_detail,device.id
order_detail,employee
order_detail,employee.id
order_detail,state
order_detail,device
order_detail,clientCreatedTime
order_detail,orderType.id
order_detail,currency
order_detail,manualTransaction
order_detail,href
order_detail,orderType
order_line_items,isRevenue
order_line_items,exchanged
order_line_items,orderRef.id
order_line_items,name
order_line_items,createdTime
order_line_items,isOrderFee
order_line_items,isAgeRestricted
order_line_items,itemCode
order_line_items,orderClientCreatedTime
order_line_items,id
order_line_items,orderRef
order_line_items,item
order_line_items,item.id
order_line_items,printed
order_line_items,refunded
order_line_items,excludeCashDiscount
order_line_items,alternateName
order_line_items,price
